Id1,Id2,IBD0.cM,IBD1.cM,IBD2.cM,EstDegree
U084466CM2014D19622,U084466PF2014D19620,0.05212697875002,NA,NA,PO
U084466CM2014D19622,U084466PM2014D19812,0.00718956027457418,NA,NA,PO
U084466PM2014D19812,U143920CM2016D22827,0.997881152530588,NA,NA,10
U143920CM2016D22827,U143920PF2016D22831,0.0140584717233451,NA,NA,PO
U143920CM2016D22827,U143920PF2016D24514,0.580490553597499,NA,NA,2
U143920PF2016D22831,U143920PF2016D24514,0.0241127148259171,NA,NA,PO
U192125CF2019D01182,U192125PF2019D11568,0.0488556746121106,NA,NA,PO
U192125CF2019D01182,U192125PM2019D11570,0.0143113861074797,NA,NA,PO
U192125PF2019D11568,U192125PM2019D11570,0.998654513003231,NA,NA,11
